ai-techbridge: container not running, no dist
backend: container not running, no dist
internship-program: container not running, no dist
puppeteer: container not running, no dist
research-portal: container not running, no dist
rophe-specialist-care-rpms: container not running, no dist
techbridge-sentinel-agent: container not running, no dist
tsapro-mapping-review: container not running, no dist
tuc-portal-tests: container not running, no dist
