[17] Installing: ai-marketplace-engine
Lockfile is up to date, resolution step is skipped
Progress: resolved 454, reused 454, downloaded 0, added 306
Progress: resolved 454, reused 454, downloaded 0, added 307
Progress: resolved 454, reused 454, downloaded 0, added 310
Progress: resolved 454, reused 454, downloaded 0, added 312
Progress: resolved 454, reused 454, downloaded 0, added 314
Progress: resolved 454, reused 454, downloaded 0, added 315
Progress: resolved 454, reused 454, downloaded 0, added 316
Progress: resolved 454, reused 454, downloaded 0, added 318
Progress: resolved 454, reused 454, downloaded 0, added 322
Progress: resolved 454, reused 454, downloaded 0, added 324
Progress: resolved 454, reused 454, downloaded 0, added 327
Progress: resolved 454, reused 454, downloaded 0, added 329
Progress: resolved 454, reused 454, downloaded 0, added 330
Progress: resolved 454, reused 454, downloaded 0, added 331
Progress: resolved 454, reused 454, downloaded 0, added 333
Progress: resolved 454, reused 454, downloaded 0, added 343
Progress: resolved 454, reused 454, downloaded 0, added 349
Progress: resolved 454, reused 454, downloaded 0, added 359
Progress: resolved 454, reused 454, downloaded 0, added 361
Progress: resolved 454, reused 454, downloaded 0, added 364
Progress: resolved 454, reused 454, downloaded 0, added 365
Progress: resolved 454, reused 454, downloaded 0, added 370
Progress: resolved 454, reused 454, downloaded 0, added 373
Progress: resolved 454, reused 454, downloaded 0, added 376
Progress: resolved 454, reused 454, downloaded 0, added 377
Progress: resolved 454, reused 454, downloaded 0, added 378
Progress: resolved 454, reused 454, downloaded 0, added 380
Progress: resolved 454, reused 454, downloaded 0, added 382
Progress: resolved 454, reused 454, downloaded 0, added 387
Progress: resolved 454, reused 454, downloaded 0, added 391
Progress: resolved 454, reused 454, downloaded 0, added 398
Progress: resolved 454, reused 454, downloaded 0, added 408
Progress: resolved 454, reused 454, downloaded 0, added 414
Progress: resolved 454, reused 454, downloaded 0, added 421
Progress: resolved 454, reused 454, downloaded 0, added 422
Progress: resolved 454, reused 454, downloaded 0, added 423
Progress: resolved 454, reused 454, downloaded 0, added 424
Progress: resolved 454, reused 454, downloaded 0, added 429
Progress: resolved 454, reused 454, downloaded 0, added 432
Progress: resolved 454, reused 454, downloaded 0, added 435
Progress: resolved 454, reused 454, downloaded 0, added 436
Progress: resolved 454, reused 454, downloaded 0, added 438
Progress: resolved 454, reused 454, downloaded 0, added 439
Progress: resolved 454, reused 454, downloaded 0, added 440
Progress: resolved 454, reused 454, downloaded 0, added 442
Progress: resolved 454, reused 454, downloaded 0, added 443
Progress: resolved 454, reused 454, downloaded 0, added 444
Progress: resolved 454, reused 454, downloaded 0, added 445
Progress: resolved 454, reused 454, downloaded 0, added 446
Progress: resolved 454, reused 454, downloaded 0, added 447
Progress: resolved 454, reused 454, downloaded 0, added 448
Progress: resolved 454, reused 454, downloaded 0, added 449
Progress: resolved 454, reused 454, downloaded 0, added 450
Progress: resolved 454, reused 454, downloaded 0, added 451
Progress: resolved 454, reused 454, downloaded 0, added 452
Progress: resolved 454, reused 454, downloaded 0, added 453
Progress: resolved 454, reused 454, downloaded 0, added 454
Progress: resolved 454, reused 454, downloaded 0, added 454, done
 WARN  Failed to create bin at C:\Development\aucdt-utilities\ai-marketplace-engine\node_modules\.pnpm\@vitest+ui@3.2.4_vitest@3.2.4\node_modules\@vitest\ui\node_modules\.bin\vitest. ENOENT: no such file or directory, open 'C:\Development\aucdt-utilities\ai-marketplace-engine\node_modules\.pnpm\@vitest+ui@3.2.4_vitest@3.2.4\node_modules\@vitest\ui\node_modules\.bin\vitest.CMD'
 WARN  Failed to create bin at C:\Development\aucdt-utilities\ai-marketplace-engine\node_modules\.pnpm\vite-node@3.2.4_@types+node_abeadf5233ed658cd93a56abc719e9ec\node_modules\vite-node\node_modules\.bin\vite. ENOENT: no such file or directory, chmod 'C:\Development\aucdt-utilities\ai-marketplace-engine\node_modules\.pnpm\vite-node@3.2.4_@types+node_abeadf5233ed658cd93a56abc719e9ec\node_modules\vite-node\node_modules\.bin\vite.ps1'

dependencies:
+ @google/genai 1.43.0
+ @tailwindcss/vite 4.2.1
+ @vitejs/plugin-react 5.1.4
+ axios 1.13.6
+ better-sqlite3 12.6.2
+ clsx 2.1.1
+ date-fns 4.1.0
+ dotenv 17.3.1
+ express 4.22.1
+ framer-motion 12.34.3
+ lucide-react 0.546.0
+ motion 12.34.3
+ react 19.2.4
+ react-dom 19.2.4
+ react-router-dom 7.13.1
+ recharts 3.7.0
+ tailwind-merge 3.5.0
+ vite 6.4.1
+ zustand 5.0.11

devDependencies:
+ @testing-library/jest-dom 6.9.1
+ @testing-library/react 16.3.2
+ @testing-library/user-event 14.6.1
+ @types/express 4.17.25
+ @types/node 22.19.13
+ @types/react-router-dom 5.3.3
+ @vitest/coverage-v8 3.2.4
+ @vitest/ui 3.2.4
+ autoprefixer 10.4.27
+ jsdom 26.1.0
+ tailwindcss 4.2.1
+ tsx 4.21.0
+ typescript 5.8.3
+ vitest 3.2.4

╭ Warning ─────────────────────────────────────────────────────────────────────╮
│                                                                              │
│   Ignored build scripts: better-sqlite3@12.6.2, esbuild@0.25.12,             │
│   esbuild@0.27.3, protobufjs@7.5.4.                                          │
│   Run "pnpm approve-builds" to pick which dependencies should be allowed     │
│   to run scripts.                                                            │
│                                                                              │
╰──────────────────────────────────────────────────────────────────────────────╯
Done in 9m 30.7s using pnpm v10.32.1
