[134] Installing: hospital-resource-allocator
Lockfile is up to date, resolution step is skipped
Progress: resolved 454, reused 454, downloaded 0, added 353
Progress: resolved 454, reused 454, downloaded 0, added 357
Progress: resolved 454, reused 454, downloaded 0, added 360
Progress: resolved 454, reused 454, downloaded 0, added 361
Progress: resolved 454, reused 454, downloaded 0, added 366
Progress: resolved 454, reused 454, downloaded 0, added 368
Progress: resolved 454, reused 454, downloaded 0, added 369
Progress: resolved 454, reused 454, downloaded 0, added 371
Progress: resolved 454, reused 454, downloaded 0, added 372
Progress: resolved 454, reused 454, downloaded 0, added 373
Progress: resolved 454, reused 454, downloaded 0, added 377
Progress: resolved 454, reused 454, downloaded 0, added 385
Progress: resolved 454, reused 454, downloaded 0, added 388
Progress: resolved 454, reused 454, downloaded 0, added 390
Progress: resolved 454, reused 454, downloaded 0, added 395
Progress: resolved 454, reused 454, downloaded 0, added 402
Progress: resolved 454, reused 454, downloaded 0, added 404
Progress: resolved 454, reused 454, downloaded 0, added 413
Progress: resolved 454, reused 454, downloaded 0, added 419
Progress: resolved 454, reused 454, downloaded 0, added 422
Progress: resolved 454, reused 454, downloaded 0, added 425
Progress: resolved 454, reused 454, downloaded 0, added 431
Progress: resolved 454, reused 454, downloaded 0, added 436
Progress: resolved 454, reused 454, downloaded 0, added 437
Progress: resolved 454, reused 454, downloaded 0, added 444
Progress: resolved 454, reused 454, downloaded 0, added 445
Progress: resolved 454, reused 454, downloaded 0, added 447
Progress: resolved 454, reused 454, downloaded 0, added 449
Progress: resolved 454, reused 454, downloaded 0, added 450
Progress: resolved 454, reused 454, downloaded 0, added 451
Progress: resolved 454, reused 454, downloaded 0, added 452
Progress: resolved 454, reused 454, downloaded 0, added 453
Progress: resolved 454, reused 454, downloaded 0, added 454
Progress: resolved 454, reused 454, downloaded 0, added 454, done

dependencies:
+ @google/genai 1.43.0
+ @tailwindcss/vite 4.2.1
+ @vitejs/plugin-react 5.1.4
+ axios 1.13.6
+ better-sqlite3 12.6.2
+ clsx 2.1.1
+ date-fns 4.1.0
+ dotenv 17.3.1
+ express 4.22.1
+ framer-motion 12.34.3
+ lucide-react 0.546.0
+ motion 12.34.3
+ react 19.2.4
+ react-dom 19.2.4
+ react-router-dom 7.13.1
+ recharts 3.7.0
+ tailwind-merge 3.5.0
+ vite 6.4.1
+ zustand 5.0.11

devDependencies:
+ @testing-library/jest-dom 6.9.1
+ @testing-library/react 16.3.2
+ @testing-library/user-event 14.6.1
+ @types/express 4.17.25
+ @types/node 22.19.13
+ @types/react-router-dom 5.3.3
+ @vitest/coverage-v8 3.2.4
+ @vitest/ui 3.2.4
+ autoprefixer 10.4.27
+ jsdom 26.1.0
+ tailwindcss 4.2.1
+ tsx 4.21.0
+ typescript 5.8.3
+ vitest 3.2.4

╭ Warning ─────────────────────────────────────────────────────────────────────╮
│                                                                              │
│   Ignored build scripts: better-sqlite3@12.6.2, esbuild@0.25.12,             │
│   esbuild@0.27.3, protobufjs@7.5.4.                                          │
│   Run "pnpm approve-builds" to pick which dependencies should be allowed     │
│   to run scripts.                                                            │
│                                                                              │
╰──────────────────────────────────────────────────────────────────────────────╯
Done in 5m 52s using pnpm v10.32.1
