[170] Installing: myvbci-camper-app
Lockfile is up to date, resolution step is skipped
Progress: resolved 283, reused 283, downloaded 0, added 201
Progress: resolved 283, reused 283, downloaded 0, added 203
Progress: resolved 283, reused 283, downloaded 0, added 205
Progress: resolved 283, reused 283, downloaded 0, added 209
Progress: resolved 283, reused 283, downloaded 0, added 211
Progress: resolved 283, reused 283, downloaded 0, added 213
Progress: resolved 283, reused 283, downloaded 0, added 214
Progress: resolved 283, reused 283, downloaded 0, added 216
Progress: resolved 283, reused 283, downloaded 0, added 217
Progress: resolved 283, reused 283, downloaded 0, added 219
Progress: resolved 283, reused 283, downloaded 0, added 220
Progress: resolved 283, reused 283, downloaded 0, added 221
Progress: resolved 283, reused 283, downloaded 0, added 222
Progress: resolved 283, reused 283, downloaded 0, added 227
Progress: resolved 283, reused 283, downloaded 0, added 230
Progress: resolved 283, reused 283, downloaded 0, added 231
Progress: resolved 283, reused 283, downloaded 0, added 236
Progress: resolved 283, reused 283, downloaded 0, added 237
Progress: resolved 283, reused 283, downloaded 0, added 245
Progress: resolved 283, reused 283, downloaded 0, added 246
Progress: resolved 283, reused 283, downloaded 0, added 248
Progress: resolved 283, reused 283, downloaded 0, added 249
Progress: resolved 283, reused 283, downloaded 0, added 250
Progress: resolved 283, reused 283, downloaded 0, added 252
Progress: resolved 283, reused 283, downloaded 0, added 253
Progress: resolved 283, reused 283, downloaded 0, added 255
Progress: resolved 283, reused 283, downloaded 0, added 256
Progress: resolved 283, reused 283, downloaded 0, added 262
Progress: resolved 283, reused 283, downloaded 0, added 264
Progress: resolved 283, reused 283, downloaded 0, added 267
Progress: resolved 283, reused 283, downloaded 0, added 268
Progress: resolved 283, reused 283, downloaded 0, added 269
Progress: resolved 283, reused 283, downloaded 0, added 270
Progress: resolved 283, reused 283, downloaded 0, added 271
Progress: resolved 283, reused 283, downloaded 0, added 272
Progress: resolved 283, reused 283, downloaded 0, added 275
Progress: resolved 283, reused 283, downloaded 0, added 276
Progress: resolved 283, reused 283, downloaded 0, added 277
Progress: resolved 283, reused 283, downloaded 0, added 278
Progress: resolved 283, reused 283, downloaded 0, added 279
Progress: resolved 283, reused 283, downloaded 0, added 280
Progress: resolved 283, reused 283, downloaded 0, added 281
Progress: resolved 283, reused 283, downloaded 0, added 282
Progress: resolved 283, reused 283, downloaded 0, added 283
Progress: resolved 283, reused 283, downloaded 0, added 283, done

dependencies:
+ @google/genai 1.29.0
+ lucide-react 0.553.0
+ react 19.2.4
+ react-dom 19.2.4
+ recharts 3.4.1

devDependencies:
+ @testing-library/jest-dom 6.9.1
+ @testing-library/react 16.3.2
+ @testing-library/user-event 14.6.1
+ @types/node 24.10.1
+ @vitejs/plugin-react 5.1.1
+ @vitest/coverage-v8 3.2.4
+ @vitest/ui 3.2.4
+ jsdom 26.1.0
+ typescript 5.9.3
+ vite 7.2.2
+ vitest 3.2.4

Done in 12m 50.2s using pnpm v10.32.1
